address,lat,lon,r80,r81,r82,r84
W Dayton & N Orchard  (EB),43.070961,-89.4070827,1,0,0,0
Langdon & N Park  (WB),43.075922,-89.4002726,1,0,1,0
Langdon & N Lake  (EB),43.0757527,-89.3969574,0,1,0,0
N Lake & W Johnson  (NB),43.0718513,-89.3973878,1,0,1,0
Langdon & Wisconsin Ave  (EB),43.0731762,-89.3947147,0,1,0,0
N Lake & Langdon  (NB),43.0756848,-89.3972433,1,0,1,0
Observatory Dr & N Charter  (WB),43.0761222,-89.4056566,1,0,1,0
W Dayton & N Mills  (EB),43.0709403,-89.4037114,1,0,0,0
N Lake & W Johnson  (SB),43.0722611,-89.3975794,0,1,0,0
W Dayton & N Park  (EB),43.0708869,-89.4011258,1,0,1,0
N Broom & W Gorham  (NB),43.0741201,-89.3924058,0,1,0,0
Langdon & N Henry  (EB),43.0768832,-89.392197,0,1,0,0
Langdon & N Park  (EB),43.0757891,-89.4000248,0,1,0,0
Regent & S Mills  (EB),43.0675994,-89.4037463,0,0,1,0
N Breese Ter & Hoyt  (SB),43.0703969,-89.4140107,0,0,1,0
W Gorham & N Henry  (WB),43.0753078,-89.3910973,0,1,0,0
N Park & Spring  (NB),43.0691913,-89.4007643,0,0,1,0
S Bassett & W Doty  (SB),43.0687295,-89.3889937,0,1,0,0
N Bedford & W Mifflin  (SB),43.0697127,-89.3937668,0,1,0,0
Regent & S Orchard  (EB),43.0676238,-89.4069296,0,0,1,0
N Broom & W Dayton  (NB),43.0730673,-89.3910213,0,1,0,0
Observatory Dr & Walnut  (EB),43.07645,-89.4240917,1,0,0,0
Observatory Dr & Walnut  (WB),43.0768566,-89.4262429,1,0,0,0
University Ave & Walnut  (EB),43.0722086,-89.4259289,0,0,1,0
University Bay Dr & Picnic Point  (EB),43.0843294,-89.4290649,1,0,0,1
University Bay Dr & Picnic Point  (WB),43.0842959,-89.428891,1,0,0,1
Observatory & Liz Waters (WB),43.0766157,-89.4071531,0,0,1,0
Observatory & Bascom (WB),43.075948,-89.4037002,1,0,1,0
Wisconsin & W Gorham (SB),43.077515,-89.388055,0,1,0,0
N Park & Regent (NB),43.0682573,-89.4007897,0,0,1,0
S Broom & W Doty (NB),43.07013813,-89.38706027,0,1,0,0
Linden & Henry (WB),43.075226,-89.4105276,1,0,0,0
Babcock & Linden (SB),43.0753013,-89.4128772,1,0,0,0
N Randall & Engineering (SB),43.0717927,-89.409253,1,0,0,0
Linden & N Charter (EB),43.0749311,-89.4063509,1,0,0,0
Linden & N Charter (WB),43.075199,-89.4075281,1,0,0,1
Linden & Babcock (WB),43.0752462,-89.41249,1,0,0,1
Regent & N Breese (EB),43.0677272,-89.4134925,0,0,1,0
N Breese & University (SB),43.0730825,-89.4140148,0,0,1,0
University & N Frances (WB),43.0732944,-89.3961954,0,1,0,0
Linden & Henry (EB),43.0750607,-89.4102872,1,0,0,0
University & N Lake (WB),43.0733293,-89.3980276,0,1,0,0
N Charter & University (SB),43.0739899,-89.4063422,1,0,0,0
S Bassett & W Washington (SB),43.0698735,-89.3904405,0,1,0,0
E Gorham & N Butler (WB),43.08022267,-89.38412577,0,1,0,0
